Id,Date,Open,High,Low,Close,Volume,Name
524 2/1/2008 28.68 29.83 27.34 28.38 438231658 AABA 
588 5/5/2008 23.05 24.93 22.97 24.37 279318380 AABA 
2883 6/16/2017 52.79 53.3 51.9 52.58 269377149 AABA 
336 5/4/2007 33.27 33.61 29.58 30.98 245789251 AABA 
2193 9/19/2014 42.44 43.19 39.55 40.93 233872064 AABA 
137 7/19/2006 26.41 26.7 25.04 25.2 204412426 AABA 
589 5/6/2008 25.54 26.25 24.2 25.72 180099946 AABA 
2880 6/13/2017 53.65 54.08 52 52 157375730 AABA 
525 2/4/2008 28.33 29.5 28.33 29.33 144813955 AABA 
1348 5/11/2011 18.45 18.61 16.74 17.2 131204310 AABA 
324 4/18/2007 28.42 28.9 27.89 28.31 127898810 AABA 
180 9/19/2006 29.09 29.13 25.1 25.75 127739742 AABA 
899 7/29/2009 16 16.2 15.05 15.14 126807667 AABA 
1204 10/14/2010 16.75 16.76 15.75 15.93 123448885 AABA 
615 6/12/2008 26.33 26.33 22.5 23.52 122412082 AABA 
1350 5/13/2011 16.14 16.84 15.96 16.55 120057586 AABA 
11 1/18/2006 35.01 36.16 34.74 35.18 118670393 AABA 
616 6/13/2008 22.82 23.48 21.75 23.47 118452097 AABA 
522 1/30/2008 18.62 20.81 18.58 19.05 115993273 AABA 
201 10/18/2006 24.57 24.75 22.88 22.99 111874792 AABA 
2194 9/22/2014 39.77 40.04 38.22 38.65 109217104 AABA 
703 10/16/2008 11.9 13.73 11.37 12.99 107745674 AABA 
900 7/30/2009 15.13 15.14 14.24 14.6 100888920 AABA 
1450 10/5/2011 14.66 16.15 14.39 15.92 97330173 AABA 
1431 9/8/2011 13.57 14.49 13.37 14.44 93971939 AABA 
2192 9/18/2014 43.05 43.32 41.42 42.08 93702110 AABA 
1183 9/15/2010 14.03 14.35 13.77 14.27 90037963 AABA 
1540 2/14/2012 16.07 16.1 14.92 15.36 88675936 AABA 
935 9/18/2009 17.7 17.7 16.85 17.39 86412574 AABA 
623 6/24/2008 21.17 23.71 20.6 22.04 85211634 AABA 
2282 1/28/2015 49.8 50.32 46.3 46.46 84839719 AABA 
590 5/7/2008 25.57 25.71 25.03 25.64 84698246 AABA 
631 7/7/2008 23.4 24.25 22.92 23.91 84245828 AABA 
1896 7/17/2013 27.66 29.73 27.52 29.66 83791379 AABA 
459 10/29/2007 34.07 34.08 31.18 31.79 83685774 AABA 
594 5/13/2008 25.15 26.84 24.39 26.56 81351150 AABA 
266 1/24/2007 28.34 29.2 28.22 28.94 81047173 AABA 
587 5/2/2008 27.65 29.73 27.21 28.67 80177097 AABA 
596 5/15/2008 27.54 27.98 26.85 27.75 79748699 AABA 
1185 9/17/2010 14.33 14.33 13.88 13.89 79565378 AABA 
521 1/29/2008 20.87 20.9 20.05 20.81 79229992 AABA 
1144 7/21/2010 14.27 14.28 13.75 13.91 78035738 AABA 
1430 9/7/2011 13.75 14 13.24 13.61 77329448 AABA 
74 4/19/2006 33.47 33.98 32.76 33.54 77263961 AABA 
552 3/13/2008 28.07 28.27 27.38 27.5 75635930 AABA 
2184 9/8/2014 40.34 41.82 40.26 41.81 75520239 AABA 
2877 6/8/2017 55.35 55.94 53.49 55.71 75397854 AABA 
451 10/17/2007 29.1 29.2 28 28.82 75067683 AABA 
2283 1/29/2015 43.56 43.8 41.8 43.73 74370078 AABA 
2878 6/9/2017 56.16 57.39 53.66 54.02 74186692 AABA 
297 3/9/2007 29.85 30.15 28.79 29.12 72786372 AABA 
2882 6/15/2017 52.17 52.76 51.64 52.58 72688419 AABA 
366 6/18/2007 27.72 28.34 27.5 28.12 72522004 AABA 
2189 9/15/2014 43.98 44 42.14 42.55 72409929 AABA 
2881 6/14/2017 52.42 54.26 52.16 52.63 72068964 AABA 
1081 4/21/2010 17.58 17.78 17.3 17.45 71686144 AABA 
1715 10/23/2012 16.53 16.79 16.26 16.67 71575349 AABA 
717 11/5/2008 13.21 14.84 13.15 13.92 71290756 AABA 
2188 9/12/2014 41.73 43.2 41.5 42.88 69745453 AABA 
2216 10/22/2014 42.42 42.88 41.77 42 69348875 AABA 
526 2/5/2008 28.78 29.57 28.75 28.98 68583658 AABA 
200 10/17/2006 23.74 24.35 23.68 24.15 68196117 AABA 
1403 7/29/2011 13.89 14.07 13.04 13.1 67798407 AABA 
530 2/11/2008 29.89 30.05 29.32 29.87 67253668 AABA 
2031 1/29/2014 35.77 36.31 34.82 34.89 67251138 AABA 
367 6/19/2007 29.4 29.4 27.54 27.63 66111775 AABA 
2195 9/23/2014 38.15 39.27 37.9 39.05 66105317 AABA 
2099 5/7/2014 35.99 35.99 33.67 34.07 66062698 AABA 
458 10/26/2007 32.43 33.99 31.61 33.63 65996497 AABA 
831 4/22/2009 14.62 15.39 14.41 14.48 65407723 AABA 
387 7/18/2007 26.07 26.72 26.02 26.2 65141119 AABA 
932 9/15/2009 16.01 16.49 15.87 16.41 64668146 AABA 
595 5/14/2008 26.95 27.36 26.2 27.14 64571014 AABA 
254 1/5/2007 26.7 27.87 26.66 27.74 64391379 AABA 
465 11/6/2007 31.76 31.79 29 29.93 63664347 AABA 
1396 7/20/2011 14.15 14.15 13.45 13.48 63098312 AABA 
901 7/31/2009 14.72 14.89 14.29 14.32 62659854 AABA 
2198 9/26/2014 39.01 40.8 39 40.66 62189221 AABA 
1351 5/16/2011 16.68 16.69 15.63 15.81 62094516 AABA 
934 9/17/2009 17 17.79 16.96 17.5 62009941 AABA 
1664 8/10/2012 15.25 15.35 15.01 15.15 61987221 AABA 
2085 4/16/2014 36.98 37.3 35.81 36.35 61599130 AABA 
2190 9/16/2014 42.61 42.96 41.69 42.71 61490721 AABA 
597 5/16/2008 27.73 27.95 27.41 27.66 61318285 AABA 
591 5/8/2008 25.66 26.44 25.51 26.22 61308558 AABA 
12 1/19/2006 35.82 35.84 34.24 34.33 60918436 AABA 
1441 9/22/2011 14.2 14.25 13.69 13.99 60456273 AABA 
1432 9/9/2011 14.36 14.57 14.07 14.48 60031868 AABA 
1077 4/15/2010 18.3 19.12 18.13 18.97 60024643 AABA 
1409 8/8/2011 11.43 11.8 11.09 11.09 59577539 AABA 
1436 9/15/2011 14.73 15.4 14.51 14.89 58585016 AABA 
1205 10/15/2010 16.17 16.73 15.9 16.25 58481713 AABA 
629 7/2/2008 21.89 21.9 20.67 20.88 58444076 AABA 
467 11/8/2007 28.11 28.24 25.82 26.7 58160569 AABA 
2879 6/12/2017 53.79 54.55 52.6 53.12 57753270 AABA 
727 11/19/2008 11.54 11.58 9.07 9.14 57696967 AABA 
13 1/20/2006 34.44 34.66 33.21 33.74 57681688 AABA 
1779 1/29/2013 20.87 20.88 19.68 19.7 57652249 AABA 
598 5/19/2008 27.9 28.33 27.42 27.68 57102239 AABA 
466 11/7/2007 29.27 29.3 27.56 27.63 57069799 AABA 
532 2/13/2008 29.78 30.07 29.6 29.88 57047609 AABA 
1437 9/16/2011 15.09 15.34 14.94 14.97 56827817 AABA 
2496 12/2/2015 35 36.39 34.77 35.65 56614011 AABA 
2147 7/16/2014 34.42 34.45 33.72 33.79 56334325 AABA 
450 10/16/2007 27.37 27.48 26.55 26.69 56275242 AABA 
1222 11/9/2010 17.22 17.6 16.86 16.97 56225700 AABA 
181 9/20/2006 26.04 26.09 25.38 25.64 55654770 AABA 
527 2/6/2008 29.11 29.33 28.53 28.57 55648731 AABA 
529 2/8/2008 28.98 29.22 28.71 29.2 55614205 AABA 
2538 2/3/2016 28.45 28.61 26.57 27.68 55527649 AABA 
138 7/20/2006 25.55 26.21 24.91 25.27 54684560 AABA 
2360 5/20/2015 42.28 43.04 42.16 42.79 54530780 AABA 
1429 9/6/2011 12.52 12.95 12.45 12.91 54455285 AABA 
1460 10/19/2011 16.04 16.79 15.73 15.94 54264451 AABA 
830 4/21/2009 13.94 14.59 13.71 14.38 54237647 AABA 
386 7/17/2007 26.74 27.8 26.7 27.53 53656098 AABA 
894 7/22/2009 16.19 17.48 16.12 17.37 53615437 AABA 
933 9/16/2009 16.57 17.11 16.52 16.99 53594701 AABA 
433 9/21/2007 25.54 26.21 25.29 26.05 53062016 AABA 
473 11/16/2007 25.66 27.13 25.1 26.82 53025381 AABA 
1349 5/12/2011 17.12 17.81 16.93 17.17 52984629 AABA 
2185 9/9/2014 42.01 42.06 40.6 40.78 52683044 AABA 
460 10/30/2007 31.55 31.64 30.12 30.83 52417261 AABA 
509 1/10/2008 23.19 24.57 22.83 24.09 52347817 AABA 
586 5/1/2008 27.69 28.34 26.5 26.81 52070971 AABA 
726 11/18/2008 11.93 12.4 11 11.55 51686506 AABA 
1308 3/15/2011 16.66 16.68 16.04 16.33 51489231 AABA 
1078 4/16/2010 18.67 18.68 17.96 18.17 51429557 AABA 
198 10/13/2006 23.9 24.5 23.57 24.42 51340196 AABA 
1607 5/21/2012 16 16 15.1 15.58 51152115 AABA 
1412 8/11/2011 11.89 12.92 11.88 12.86 51100217 AABA 
904 8/5/2009 14.76 14.91 14.61 14.67 50910089 AABA 
1203 10/13/2010 14.57 15.48 14.5 15.25 50773328 AABA 
2084 4/15/2014 33.93 34.28 32.64 34.21 50600434 AABA 
582 4/25/2008 26.85 26.93 26.08 26.8 50523030 AABA 
1451 10/6/2011 15.16 15.8 14.92 15.65 49961022 AABA 
203 10/20/2006 23.22 23.27 22.65 23.21 49802346 AABA 
1275 1/26/2011 15.93 16.05 15.41 15.57 49690763 AABA 
1442 9/23/2011 14.23 14.83 14.12 14.71 49333116 AABA 
1693 9/21/2012 15.72 15.82 15.66 15.74 49167303 AABA 
2450 9/28/2015 29.03 29.22 27.2 27.6 49088735 AABA 
929 9/10/2009 15.28 15.63 15.15 15.45 49083235 AABA 
2196 9/24/2014 39.26 40.1 38.91 39.88 49014117 AABA 
1413 8/12/2011 12.81 13.62 12.76 13.58 48476111 AABA 
643 7/23/2008 21.91 22.48 20 20.39 48279691 AABA 
741 12/10/2008 12.67 13.57 12.35 13.4 48058085 AABA 
1411 8/10/2011 11.77 12.14 11.62 11.77 48033973 AABA 
2078 4/7/2014 34.11 34.37 32.53 33.07 47770153 AABA 
1073 4/9/2010 17.42 18.07 17.24 17.52 47732998 AABA 
1075 4/13/2010 17.51 18.3 17.4 18.18 47517352 AABA 
2885 6/20/2017 54.54 54.9 53.79 53.81 47512882 AABA 
1410 8/9/2011 11.3 12.09 11.25 12.08 47486551 AABA 
2153 7/24/2014 35.09 36.55 35.04 36.17 47391036 AABA 
719 11/7/2008 12.45 12.5 11.65 12.2 47293147 AABA 
1504 12/21/2011 15.15 16.24 14.74 15.99 47127515 AABA 
1408 8/5/2011 12.08 12.12 11.41 11.74 47067433 AABA 
1490 12/1/2011 16.42 16.46 16.09 16.23 47059601 AABA 
2437 9/9/2015 30.4 31.8 30.35 31.52 46956972 AABA 
508 1/9/2008 22.47 22.8 21.37 22.56 46671231 AABA 
1229 11/18/2010 16.4 17.17 16.29 16.99 46508945 AABA 
735 12/2/2008 10.81 12.5 10.5 11.5 46296302 AABA 
958 10/21/2009 17.98 18.02 17.57 17.66 46204426 AABA 
1899 7/22/2013 28.08 28.42 27.63 27.86 46046390 AABA 
1446 9/29/2011 14.34 14.39 13.15 13.42 45782189 AABA 
2281 1/27/2015 49.14 49.28 47.66 47.99 45777217 AABA 
325 4/19/2007 28.1 28.23 27.46 27.51 45686451 AABA 
455 10/23/2007 30.12 30.88 30.03 30.64 45406111 AABA 
1072 4/8/2010 16.91 17.41 16.9 17.35 45369131 AABA 
2359 5/19/2015 44.38 44.66 39.12 40.98 45363929 AABA 
1475 11/9/2011 16.17 16.5 15.87 15.92 45328226 AABA 
468 11/9/2007 26.13 26.38 25.4 25.79 45196011 AABA 
1833 4/17/2013 23.45 24.1 23.13 23.7 45154649 AABA 
2501 12/9/2015 35.8 35.84 33.15 34.4 45101897 AABA 
265 1/23/2007 27.42 27.54 26.88 26.96 44876406 AABA 
1960 10/16/2013 33.9 34.11 32.83 33.09 44820000 AABA 
617 6/16/2008 22.95 23.58 22.71 23.54 44711884 AABA 
718 11/6/2008 14.84 14.89 13.75 13.96 44566410 AABA 
323 4/17/2007 31.98 32.14 31.71 32.09 44549759 AABA 
1449 10/4/2011 14 14.48 13.87 14.46 44487200 AABA 
553 3/14/2008 27.85 27.96 26.5 26.71 44392221 AABA 
528 2/7/2008 28.63 29.19 28.6 29.04 44254807 AABA 
1341 5/2/2011 17.79 18.34 17.57 18.14 44036368 AABA 
1023 1/26/2010 15.82 16.17 15.7 15.99 43979302 AABA 
902 8/3/2009 14.56 14.62 14.3 14.34 43976838 AABA 
1093 5/7/2010 15.77 15.95 15.25 15.29 43940960 AABA 
2758 12/15/2016 40 40 38.25 38.41 43669990 AABA 
21 2/1/2006 34.45 35 34.35 35 43601750 AABA 
420 9/4/2007 23.3 24.5 23.2 23.97 43598591 AABA 
464 11/5/2007 30.71 32.37 30.35 31.36 43520259 AABA 
136 7/18/2006 32.08 32.26 31.25 32.24 43414869 AABA 
1448 10/3/2011 13.7 14.04 13.37 13.53 43196239 AABA 
903 8/4/2009 14.44 14.68 14.37 14.51 43084746 AABA 
1954 10/8/2013 34.46 34.5 32.1 32.93 42914643 AABA 
695 10/6/2008 15.27 16.07 14.55 15.31 42866208 AABA 
1959 10/15/2013 34.2 34.32 33.06 33.38 42773930 AABA 
1145 7/22/2010 13.89 14.17 13.81 13.88 42677531 AABA 
140 7/24/2006 26.24 27.23 25.89 26.94 42634524 AABA 
1690 9/18/2012 15.65 16.17 15.6 15.9 42449580 AABA 
531 2/12/2008 29.81 29.84 29.4 29.57 42445525 AABA 
10 1/17/2006 39.09 40.39 38.96 40.11 42429911 AABA 
202 10/19/2006 23.02 23.59 23 23.14 42371679 AABA 
517 1/23/2008 19.25 20.34 18.72 20.01 42066717 AABA 
2211 10/15/2014 37.27 38.08 36.2 37.82 41973475 AABA 
2215 10/21/2014 39.65 40.48 39.46 40.18 41955183 AABA 
453 10/19/2007 29.36 29.96 28.85 29.03 41929891 AABA 
1472 11/4/2011 15.39 15.54 14.95 15.24 41852983 AABA 
1469 11/1/2011 14.95 15.08 14.75 14.93 41840623 AABA 
1290 2/16/2011 17.23 17.82 17.21 17.76 41824091 AABA 
2657 7/25/2016 39.2 39.21 38.22 38.32 41814378 AABA 
2451 9/29/2015 28.58 29.23 27.85 28.26 41761626 AABA 
1024 1/27/2010 16.46 16.49 15.77 15.98 41700911 AABA 
523 1/31/2008 18.87 19.35 18.72 19.18 41449771 AABA 
593 5/12/2008 25.8 25.88 25.02 25.26 41333812 AABA 
1372 6/15/2011 15.01 15.05 14.5 14.81 41286143 AABA 
337 5/7/2007 30.13 30.98 29.86 30.38 41260497 AABA 
515 1/18/2008 21.27 21.61 20.07 20.78 41239551 AABA 
2077 4/4/2014 36.01 36.05 33.83 34.26 41049936 AABA 
1076 4/14/2010 18.15 18.47 18.06 18.38 41028485 AABA 
2030 1/28/2014 36.83 38.32 36.52 38.22 40959832 AABA 
698 10/9/2008 13.9 13.9 12.47 12.65 40835391 AABA 
1461 10/20/2011 16.2 16.49 15.97 16.18 40816828 AABA 
1354 5/19/2011 16.05 16.49 16.04 16.35 40356311 AABA 
1362 6/1/2011 16.34 16.43 15.79 15.84 40295512 AABA 
257 1/10/2007 27.48 28.92 27.44 28.7 40240872 AABA 
910 8/13/2009 14.74 15.07 14.61 15.04 40192992 AABA 
206 10/25/2006 23.73 24.64 23.69 24.49 40127077 AABA 
534 2/15/2008 29.94 30.15 29.43 29.66 40121528 AABA 
39 2/28/2006 32.63 32.98 31.34 32.06 39929675 AABA 
943 9/30/2009 17.48 17.94 17.24 17.81 39880782 AABA 
94 5/17/2006 30.61 31.26 30.04 30.11 39865162 AABA 
518 1/24/2008 20.44 21.75 20.42 21.69 39823218 AABA 
326 4/20/2007 27.86 27.86 27.37 27.46 39789613 AABA 
1468 10/31/2011 16.06 16.07 15.45 15.64 39763681 AABA 
1026 1/29/2010 15.51 15.67 14.9 15.01 39667312 AABA 
690 9/29/2008 18.77 18.92 16.88 16.88 39570218 AABA 
1778 1/28/2013 20.5 20.5 20.2 20.31 39509704 AABA 
2191 9/17/2014 42.37 42.96 42.3 42.59 39495493 AABA 
844 5/11/2009 14.9 15.83 14.81 15.54 39492329 AABA 
1407 8/4/2011 12.8 12.86 11.99 12 39442225 AABA 
2884 6/19/2017 54 55.03 53.8 54.46 39430343 AABA 
196 10/11/2006 24.29 24.64 23.8 24.24 39360907 AABA 
1946 9/26/2013 31.65 33 31.58 32.75 39233678 AABA 
1080 4/20/2010 18.5 18.52 18.22 18.38 39171899 AABA 
964 10/29/2009 16.19 16.38 15.74 16.13 39146661 AABA 
1276 1/27/2011 15.58 16.36 15.58 16.2 39066928 AABA 
704 10/17/2008 12.88 13.5 12.68 12.9 38986394 AABA 
2209 10/13/2014 39.52 40.07 38.29 38.38 38841896 AABA 
73 4/18/2006 31.17 31.38 30.53 31.3 38756357 AABA 
457 10/25/2007 30.75 31.62 30.5 31.34 38711764 AABA 
